,Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price,Delta,Target
1,Shreenath Paper Products Ltd,05-Mar-25,44,35.2,30.19,-31.39,-19.999999999999993,No
2,Nukleus Office Solutions Ltd,04-Mar-25,234,187.2,190.0,-18.8,-20.000000000000004,No
3,Beezaasan Explotech Ltd,03-Mar-25,175,146.0,170.4,-2.63,-16.57142857142857,No
15,Ajax Engineering Ltd,17-Feb-25,629,593.0,602.35,-4.24,-5.723370429252783,No
17,Eleganz Interiors Ltd,14-Feb-25,130,122.0,114.95,-11.58,-6.153846153846154,No
19,Amwill Health Care Ltd,12-Feb-25,111,88.85,82.99,-25.23,-19.95495495495496,No
20,Ken Enterprises Ltd,12-Feb-25,94,85.0,45.65,-51.44,-9.574468085106384,No
23,Malpani Pipes & Fittings Ltd,04-Feb-25,90,85.9,58.32,-35.2,-4.555555555555549,No
24,GB Logistics Commerce Ltd,31-Jan-25,102,81.6,42.29,-58.54,-20.000000000000007,No
28,Rexpro Enterprises Ltd,29-Jan-25,145,117.0,100.05,-31.0,-19.310344827586206,No
47,Davin Sons Retail Ltd,09-Jan-25,55,44.0,24.8,-54.91,-20.0,No
54,Carraro India Ltd,30-Dec-24,704,660.0,349.45,-50.36,-6.25,No
89,Lamosaic India Ltd,29-Nov-24,200,164.0,49.9,-75.05,-18.0,No
92,Onyx Biotec Ltd,22-Nov-24,61,54.05,57.0,-6.56,-11.393442622950824,No
96,ACME Solar Holdings Ltd,13-Nov-24,289,259.0,208.3,-27.92,-10.380622837370241,No
99,Afcons Infrastructure Ltd,04-Nov-24,463,430.05,450.7,-2.66,-7.116630669546434,No
101,Godavari Biorefineries Ltd,30-Oct-24,352,310.55,167.45,-52.43,-11.775568181818178,No
116,Subam Papers Ltd,08-Oct-24,152,142.0,104.3,-31.38,-6.578947368421052,No
117,Paramount Dye Tec Ltd,08-Oct-24,117,109.9,63.7,-45.56,-6.068376068376064,No
119,Saj Hotels Ltd,07-Oct-24,65,55.0,71.5,10.0,-15.384615384615385,No
132,Bikewo Green Tech Ltd,27-Sep-24,62,45.0,18.25,-70.56,-27.419354838709676,No
136,Kalana Ispat Ltd,26-Sep-24,66,45.15,43.4,-34.24,-31.590909090909093,No
147,Excellent Wires and Packaging Ltd,19-Sep-24,90,85.0,54.0,-40.0,-5.555555555555555,No
164,Muthoot Microfin Ltd,26-Dec-23,291,278.0,132.95,-54.31,-4.4673539518900345,No
165,Suraj Estate Developers Ltd,26-Dec-23,360,343.8,333.95,-7.24,-4.499999999999997,No
211,IRM Energy Ltd,26-Oct-23,505,479.0,263.55,-47.81,-5.148514851485149,No
215,Vivaa Tradecom Ltd,12-Oct-23,51,40.8,49.0,-3.92,-20.000000000000007,No
239,Yatra Online Ltd,28-Sep-23,142,130.0,71.56,-49.61,-8.450704225352112,No
248,Kundan Edifice Ltd,26-Sep-23,91,75.0,122.85,35.0,-17.582417582417584,No
254,Moxsh Overseas Educon Ltd,30-Dec-22,153,131.0,29.0,-81.05,-14.37908496732026,No
258,Dollex Agrotech Ltd,28-Dec-22,35,30.0,36.5,4.29,-14.285714285714285,No
260,Landmark Cars Ltd,23-Dec-22,506,471.3,461.15,-8.86,-6.857707509881421,No
272,Inox Green Energy Services Ltd,23-Nov-22,65,60.5,129.25,98.85,-6.923076923076923,No
275,Five-Star Business Finance Ltd,21-Nov-22,474,449.95,688.45,45.24,-5.073839662447259,No
293,Swastik Pipe Ltd,12-Oct-22,100,66.0,46.95,-53.05,-34.0,No
304,Reetech International Cargo & Courier Ltd,10-Oct-22,105,82.0,30.9,-70.57,-21.904761904761905,No
324,Naturo Indiabull Ltd,02-Sep-22,30,25.0,3.26,-89.13,-16.666666666666664,No
330,Healthy Life Agritec Ltd,26-Jul-22,10,8.9,59.2,492.0,-10.999999999999996,No
338,KCK Industries Ltd,08-Jul-22,30,25.0,47.5,58.33,-16.666666666666664,No
343,Silver Pearl Hospitality & Luxury Spaces Ltd,17-Jun-22,18,16.0,7.56,-58.0,-11.11111111111111,No
348,Ethos Ltd,30-May-22,878,830.0,2628.6,199.38,-5.466970387243736,No
362,Metro Brands Ltd,22-Dec-21,500,436.0,1120.85,124.17,-12.8,No
364,Shriram Properties Ltd,20-Dec-21,118,94.0,73.36,-37.83,-20.33898305084746,No
365,Rategain Travel Technologies Ltd,17-Dec-21,425,364.8,506.35,19.14,-14.164705882352937,No
368,Star Health & Allied Insurance Company Ltd,10-Dec-21,900,848.8,366.55,-59.27,-5.688888888888894,No
373,One 97 Communications Ltd,18-Nov-21,2150,1955.0,684.85,-68.15,-9.069767441860465,No
379,Fino Payments Bank Ltd,12-Nov-21,577,548.0,218.91,-62.06,-5.025996533795494,No
404,Aptus Value Housing Finance India Ltd,24-Aug-21,353,329.95,303.3,-14.08,-6.529745042492921,No
406,Nuvoco Vistas Corporation Ltd,23-Aug-21,570,471.0,317.9,-44.23,-17.36842105263158,No
410,Windlas Biotech Ltd,16-Aug-21,460,439.0,924.05,100.88,-4.565217391304348,No
430,Abhishek Integrations Ltd,21-Jun-21,50,40.0,60.9,21.8,-20.0,No
433,Macrotech Developers Ltd,19-Apr-21,486,439.0,1113.0,129.01,-9.670781893004115,No
443,Kalyan Jewellers India Ltd,26-Mar-21,87,73.9,431.7,396.21,-15.057471264367809,No
444,Craftsman Automation Ltd,25-Mar-21,1490,1350.0,5000.65,235.61,-9.395973154362416,No
0,Balaji Phosphates Ltd,07-Mar-25,70,75.0,74.35,6.21,7.142857142857142,Yes
5,HP Telecom India Ltd,28-Feb-25,108,115.05,114.35,5.88,6.527777777777775,Yes
7,Tejas Cargo India Ltd,24-Feb-25,168,175.0,168.05,0.03,4.166666666666666,Yes
18,Solarium Green Energy Ltd,13-Feb-25,191,202.0,257.0,34.55,5.7591623036649215,Yes
21,Chamunda Electrical Ltd,11-Feb-25,50,70.0,49.9,-0.2,40.0,Yes
25,H.M. Electro Mech Ltd,31-Jan-25,75,81.0,72.29,-3.61,8.0,Yes
27,Denta Water & Infra Solutions Ltd,29-Jan-25,294,330.0,306.8,4.35,12.244897959183673,Yes
29,CapitalNumbers Infotech Ltd,27-Jan-25,263,274.0,205.4,-21.9,4.182509505703422,Yes
30,EMA Partners India Ltd,24-Jan-25,124,156.5,124.75,0.6,26.209677419354836,Yes
31,Stallion India Fluorochemicals Ltd,23-Jan-25,90,120.0,72.31,-19.66,33.33333333333333,Yes
32,Landmark Immigration Consultants Ltd,23-Jan-25,72,75.0,56.75,-21.18,4.166666666666666,Yes
35,Laxmi Dental Ltd,20-Jan-25,428,528.0,434.0,1.4,23.364485981308412,Yes
40,Delta Autocorp Ltd,14-Jan-25,130,175.0,80.25,-38.27,34.61538461538461,Yes
42,Quadrant Future Tek Ltd,14-Jan-25,290,374.0,519.75,79.22,28.965517241379313,Yes
43,Standard Glass Lining Technology Ltd,13-Jan-25,140,176.0,136.11,-2.78,25.71428571428571,Yes
46,Parmeshwar Metal Ltd,09-Jan-25,61,84.5,54.05,-11.39,38.52459016393443,Yes
48,Leo Dryfruits & Spices Trading Ltd,08-Jan-25,52,68.0,52.5,0.96,30.76923076923077,Yes
49,Technichem Organics Ltd,07-Jan-25,55,57.25,47.7,-13.27,4.090909090909091,Yes
50,Indo Farm Equipment Ltd,07-Jan-25,215,258.4,188.91,-12.13,20.186046511627897,Yes
52,Anya Polytech & Fertilizers Ltd,02-Jan-25,14,17.1,22.65,61.79,22.142857142857153,Yes
55,Ventive Hospitality Ltd,30-Dec-24,643,718.15,705.5,9.72,11.687402799377912,Yes
56,Senores Pharmaceuticals Ltd,30-Dec-24,391,593.7,568.25,45.33,51.841432225063954,Yes
57,Sanathan Textiles Ltd,27-Dec-24,321,419.1,322.55,0.48,30.560747663551407,Yes
59,Transrail Lighting Ltd,27-Dec-24,432,585.15,532.8,23.33,35.451388888888886,Yes
61,Dam Capital Advisors Ltd,27-Dec-24,283,392.9,223.5,-21.02,38.83392226148409,Yes
62,Concord Enviro Systems Ltd,27-Dec-24,701,832.0,504.8,-27.99,18.687589158345222,Yes
66,International Gemmological Institute (India) Ltd,20-Dec-24,417,504.85,328.9,-21.13,21.067146282973624,Yes
68,Inventurus Knowledge Solutions Ltd,19-Dec-24,1329,1856.0,1732.15,30.33,39.65387509405568,Yes
69,One Mobikwik Systems Ltd,18-Dec-24,279,442.25,284.95,2.13,58.51254480286738,Yes
71,Purple United Sales Ltd,18-Dec-24,126,199.0,148.0,17.46,57.936507936507944,Yes
72,Vishal Mega Mart Ltd,18-Dec-24,78,110.0,104.57,34.06,41.02564102564102,Yes
73,Sai Life Sciences Ltd,18-Dec-24,549,660.0,684.75,24.73,20.21857923497268,Yes
78,Nisus Finance Services Co Ltd,11-Dec-24,180,225.0,375.6,108.67,25.0,Yes
82,Agarwal Toughened Glass India Ltd,05-Dec-24,108,135.0,97.2,-10.0,25.0,Yes
84,Abha Power and Steel Ltd,04-Dec-24,75,81.9,31.7,-57.73,9.200000000000008,Yes
88,Enviro Infra Engineers Ltd,29-Nov-24,148,218.0,208.23,40.7,47.2972972972973,Yes
94,Neelam Linens and Garments (India) Ltd,18-Nov-24,24,40.05,33.3,38.75,66.87499999999999,Yes
95,Niva Bupa Health Insurance Company Ltd,14-Nov-24,74,78.5,72.3,-2.3,6.081081081081082,Yes
97,Swiggy Ltd,13-Nov-24,390,412.0,360.95,-7.45,5.641025641025641,Yes
102,OBSC Perfection Ltd,29-Oct-24,100,110.0,167.0,67.0,10.0,Yes
104,Danish Power Ltd,29-Oct-24,380,570.0,793.7,108.87,50.0,Yes
105,Waaree Energies Ltd,28-Oct-24,1503,2550.0,2226.1,48.11,69.66067864271457,Yes
106,Premium Plast Ltd,28-Oct-24,49,51.45,39.25,-19.9,5.000000000000006,Yes
108,Freshara Agro Exports Ltd,24-Oct-24,116,135.0,140.3,20.95,16.379310344827587,Yes
112,Shiv Texchem Ltd,15-Oct-24,166,239.0,241.0,45.18,43.97590361445783,Yes
113,Garuda Construction and Engineering Ltd,15-Oct-24,95,103.2,107.76,13.43,8.631578947368423,Yes
114,Khyati Global Ventures Ltd,11-Oct-24,99,105.0,57.0,-42.42,6.0606060606060606,Yes
118,HVAX Technologies Ltd,07-Oct-24,458,486.0,640.0,39.74,6.11353711790393,Yes
120,Nexxus Petro Industries Ltd,04-Oct-24,105,126.0,121.0,15.24,20.0,Yes
122,Divyadhan Recycling Industries Ltd,04-Oct-24,64,84.0,42.0,-34.38,31.25,Yes
123,Forge Auto International Ltd,04-Oct-24,108,113.0,75.0,-30.56,4.62962962962963,Yes
124,Diffusion Engineers Ltd,04-Oct-24,168,188.0,293.29,74.58,11.904761904761903,Yes
126,Thinking Hats Entertainment Solutions Ltd,03-Oct-24,44,60.0,31.5,-28.41,36.36363636363637,Yes
127,Techera Engineering India Ltd,03-Oct-24,82,125.0,139.1,69.63,52.4390243902439,Yes
129,Manba Finance Ltd,30-Sep-24,120,150.0,139.46,16.22,25.0,Yes
130,Rappid Valves India Ltd,30-Sep-24,222,312.0,255.1,14.91,40.54054054054054,Yes
131,WOL 3D India Ltd,30-Sep-24,150,180.05,106.0,-29.33,20.033333333333342,Yes
133,Avi Ansh Textile Ltd,27-Sep-24,62,68.0,97.0,56.45,9.67741935483871,Yes
134,S D Retail Ltd,27-Sep-24,131,145.0,100.95,-22.94,10.687022900763358,Yes
137,Paramount Speciality Forgings Ltd,25-Sep-24,59,83.0,56.0,-5.08,40.67796610169492,Yes
139,Pelatro Ltd,24-Sep-24,200,275.0,343.0,71.5,37.5,Yes
140,OSEL Devices Ltd,24-Sep-24,160,198.05,226.6,41.63,23.781250000000007,Yes
141,Deccan Transcon Leasing Ltd,24-Sep-24,108,116.0,57.15,-47.08,7.4074074074074066,Yes
143,Northern ARC Capital Ltd,24-Sep-24,263,351.0,173.2,-34.14,33.460076045627375,Yes
145,Arkade Developers Ltd,24-Sep-24,128,175.9,143.09,11.79,37.42187500000001,Yes
146,Sodhani Academy of Fintech Enablers Ltd,23-Sep-24,40,53.0,216.2,440.5,32.5,Yes
150,SPP Polymer Ltd,17-Sep-24,59,63.0,22.0,-62.71,6.779661016949152,Yes
154,Supreme Power Equipment Ltd,29-Dec-23,65,98.0,115.7,78.0,50.76923076923077,Yes
155,Indifra Ltd,29-Dec-23,65,72.0,14.75,-77.31,10.76923076923077,Yes
157,Azad Engineering Ltd,28-Dec-23,524,710.0,1330.85,153.98,35.49618320610687,Yes
158,Happy Forgings Ltd,27-Dec-23,850,1001.25,810.0,-4.71,17.794117647058822,Yes
159,Electro Force (India) Ltd,27-Dec-23,93,100.0,40.0,-56.99,7.526881720430108,Yes
162,Shanti Spintex Ltd,27-Dec-23,70,76.0,60.0,-14.29,8.571428571428571,Yes
167,Inox India Ltd,21-Dec-23,660,933.15,1001.4,51.73,41.38636363636363,Yes
169,Siyaram Recycling Industries Ltd,21-Dec-23,46,55.0,129.15,180.76,19.565217391304348,Yes
170,Benchmark Computer Solutions Ltd,21-Dec-23,66,80.0,35.3,-46.52,21.21212121212121,Yes
171,India Shelter Finance Corporation Ltd,20-Dec-23,493,612.7,752.35,52.61,24.27991886409737,Yes
173,S J Logistics (India) Ltd,19-Dec-23,125,175.0,549.8,339.84,40.0,Yes
177,Sheetal Universal Ltd,11-Dec-23,70,75.0,77.3,10.43,7.142857142857142,Yes
178,Marinetrans India Ltd,08-Dec-23,26,30.0,17.8,-31.54,15.384615384615385,Yes
182,Swashthik Plascon Ltd,05-Dec-23,86,120.1,60.62,-29.51,39.65116279069767,Yes
183,Flair Writing Industries Ltd,01-Dec-23,304,503.0,221.38,-27.18,65.46052631578947,Yes
188,Indian Renewable Energy Development Agency Ltd,29-Nov-23,32,50.0,149.59,367.47,56.25,Yes
189,Arrowhead Seperation Engineering Ltd,28-Nov-23,233,250.0,93.75,-59.76,7.296137339055794,Yes
192,ROX Hi-Tech Ltd,16-Nov-23,83,135.0,59.3,-28.55,62.65060240963856,Yes
193,ASK Automotive Ltd,15-Nov-23,282,304.9,413.6,46.67,8.120567375886518,Yes
196,ESAF Small Finance Bank Ltd,10-Nov-23,60,71.9,30.3,-49.5,19.833333333333343,Yes
198,Mish Designs Ltd,07-Nov-23,122,160.0,92.0,-24.59,31.147540983606557,Yes
201,KK Shah Hospitals Ltd,06-Nov-23,45,56.1,42.4,-5.78,24.66666666666667,Yes
202,Transteel Seating Technologies Ltd,06-Nov-23,70,88.9,101.5,45.0,27.000000000000007,Yes
203,Cello World Ltd,06-Nov-23,648,831.0,550.35,-15.07,28.240740740740737,Yes
205,Shanthala FMCG Products Ltd,03-Nov-23,91,108.0,22.55,-75.22,18.681318681318682,Yes
207,Blue Jet Healthcare Ltd,01-Nov-23,346,359.9,837.4,142.02,4.017341040462421,Yes
209,Rajgor Castor Derivatives Ltd,31-Oct-23,50,59.0,21.25,-57.5,18.0,Yes
210,Womancart Ltd,27-Oct-23,86,117.0,346.0,302.33,36.04651162790697,Yes
213,Committed Cargo Care Ltd,18-Oct-23,77,82.0,204.7,165.84,6.493506493506493,Yes
214,Plada Infotech Services Ltd,13-Oct-23,48,59.0,22.0,-54.17,22.916666666666664,Yes
216,Karnika Industries Ltd,12-Oct-23,76,81.0,613.95,707.83,6.578947368421052,Yes
217,Sharp Chucks and Machines Ltd,12-Oct-23,58,66.0,108.85,87.67,13.793103448275861,Yes
218,Plaza Wires Ltd,12-Oct-23,54,84.0,59.72,10.59,55.55555555555556,Yes
219,Sunita Tools Ltd,11-Oct-23,145,155.0,784.0,440.69,6.896551724137931,Yes
220,Canarys Automations Ltd,11-Oct-23,31,43.45,30.05,-3.06,40.161290322580655,Yes
222,OneClick Logistics India Ltd,11-Oct-23,99,140.0,159.35,60.96,41.41414141414141,Yes
224,Kontor Space Ltd,10-Oct-23,93,122.0,80.9,-13.01,31.182795698924732,Yes
225,Vishnusurya Projects and Infra Ltd,10-Oct-23,68,73.0,205.0,201.47,7.352941176470589,Yes
226,Arabian Petroleum Ltd,09-Oct-23,70,77.4,69.45,-0.79,10.57142857142858,Yes
227,E Factor Experiences Ltd,09-Oct-23,75,115.0,167.65,123.53,53.333333333333336,Yes
228,Valiant Laboratories Ltd,06-Oct-23,140,161.0,86.48,-38.23,15.0,Yes
230,Organic Recycling Systems Ltd,06-Oct-23,200,215.0,273.0,36.5,7.5,Yes
231,Inspire Films Ltd,05-Oct-23,59,67.0,22.4,-62.03,13.559322033898304,Yes
234,Digikore Studios Ltd,04-Oct-23,171,270.0,219.25,28.22,57.89473684210527,Yes
235,JSW Infrastructure Ltd,03-Oct-23,119,143.0,269.9,126.81,20.168067226890756,Yes
236,Saakshi Medtech & Panels Ltd,03-Oct-23,97,146.0,152.35,57.06,50.51546391752577,Yes
242,Marco Cables & Conductors Ltd,28-Sep-23,36,38.7,43.45,20.69,7.500000000000008,Yes
243,SignatureGlobal India Ltd,27-Sep-23,385,445.0,1062.2,175.9,15.584415584415584,Yes
244,Kody Technolab Ltd,27-Sep-23,160,170.0,975.0,509.38,6.25,Yes
249,Chavda Infra Ltd,25-Sep-23,65,91.0,145.85,124.38,40.0,Yes
250,Holmarc Opto-Mechatronics Ltd,25-Sep-23,40,65.25,155.9,289.75,63.125,Yes
257,Arihant Academy Ltd,29-Dec-22,90,120.1,234.45,160.5,33.444444444444436,Yes
263,All E Technologies Ltd,21-Dec-22,90,125.0,401.75,346.39,38.88888888888889,Yes
265,Arham Technologies Ltd,15-Dec-22,42,60.0,93.95,123.69,42.857142857142854,Yes
267,Dharmaj Crop Guard Ltd,08-Dec-22,237,266.0,197.16,-16.81,12.236286919831224,Yes
268,Pritika Engineering Components Ltd,08-Dec-22,29,42.2,86.7,198.97,45.517241379310356,Yes
270,Ambo Agritec Ltd,02-Dec-22,30,40.1,74.55,148.5,33.66666666666667,Yes
273,Kaynes Technology India Ltd,22-Nov-22,587,775.0,4457.05,659.29,32.027257240204435,Yes
274,Archean Chemical Industries Ltd,21-Nov-22,407,449.0,531.7,30.64,10.319410319410318,Yes
276,Technopack Polymers Ltd,16-Nov-22,55,74.0,26.49,-51.84,34.54545454545455,Yes
277,Amiable Logistics India Ltd,16-Nov-22,81,129.95,80.1,-1.11,60.43209876543209,Yes
278,Global Health Ltd,16-Nov-22,336,398.15,1226.2,264.94,18.497023809523803,Yes
279,Bikaji Foods International Ltd,16-Nov-22,300,321.15,670.15,123.38,7.049999999999993,Yes
282,Vital Chemtech Ltd,14-Nov-22,101,164.0,70.05,-30.64,62.37623762376238,Yes
283,DCX Systems Ltd,11-Nov-22,207,286.25,246.83,19.24,38.28502415458937,Yes
284,Rite Zone Chemcon India Ltd,11-Nov-22,75,82.85,28.95,-61.4,10.46666666666666,Yes
285,Integrated Personnel Services Ltd,11-Nov-22,59,66.5,270.0,357.63,12.711864406779661,Yes
289,Electronics Mart India Ltd,17-Oct-22,59,89.4,132.03,123.78,51.52542372881357,Yes
292,Vedant Asset Ltd,12-Oct-22,40,65.0,59.85,49.63,62.5,Yes
294,QMS Medical Allied Services Ltd,11-Oct-22,121,128.0,103.0,-14.88,5.785123966942149,Yes
295,Lloyds Luxuries Ltd,11-Oct-22,40,45.15,84.5,111.25,12.874999999999998,Yes
297,Cyber Media Research & Services Ltd,10-Oct-22,180,245.25,75.6,-58.0,36.25,Yes
298,Steelman Telecom Ltd,10-Oct-22,96,161.0,134.0,39.58,67.70833333333334,Yes
299,Cargosol Logistics Ltd,10-Oct-22,28,42.4,19.0,-32.14,51.42857142857142,Yes
301,Cargotrans Maritime Ltd,10-Oct-22,45,70.0,81.0,80.0,55.55555555555556,Yes
305,Mafia Trends Ltd,06-Oct-22,28,32.65,15.49,-44.68,16.60714285714285,Yes
306,Containe Technologies Ltd,30-Sep-22,15,22.0,64.39,329.27,46.666666666666664,Yes
309,Harsha Engineers International Ltd,26-Sep-22,330,444.0,409.5,24.09,34.54545454545455,Yes
310,Tapi Fruit Processing Ltd,22-Sep-22,48,52.1,89.4,86.25,8.54166666666667,Yes
313,Shantidoot Infra Services Ltd,19-Sep-22,81,105.0,305.0,276.54,29.629629629629626,Yes
314,Mega Flex Plastics Ltd,19-Sep-22,40,54.0,54.55,36.38,35.0,Yes
315,Viviana Power Tech Ltd,16-Sep-22,55,90.0,728.55,1224.64,63.63636363636363,Yes
