Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Balaji Phosphates Ltd,07-Mar-25,70,75,74.35,6.21
Shreenath Paper Products Ltd,05-Mar-25,44,35.2,30.19,-31.39
Nukleus Office Solutions Ltd,04-Mar-25,234,187.2,190,-18.8
Beezaasan Explotech Ltd,03-Mar-25,175,146,170.4,-2.63
Swasth Foodtech India Ltd,28-Feb-25,94,94,80.6,-14.26
HP Telecom India Ltd,28-Feb-25,108,115.05,114.35,5.88
Quality Power Electrical Equipments Ltd,24-Feb-25,425,432.05,361.1,-15.04
Tejas Cargo India Ltd,24-Feb-25,168,175,168.05,0.03
Royal Arc Electrodes Ltd,24-Feb-25,120,120,120.8,0.67
L.K.Mehta Polymers Ltd,21-Feb-25,71,71.1,53.8,-24.23
Shanmuga Hospital Ltd,21-Feb-25,54,54,35.93,-33.46
Hexaware Technologies Ltd,19-Feb-25,708,731,781.75,10.42
P S Raj Steels Ltd,19-Feb-25,140,145,143.9,2.79
Maxvolt Energy Industries Ltd,19-Feb-25,180,180,174,-3.33
Voler Car Ltd,19-Feb-25,90,90,89.4,-0.67
Ajax Engineering Ltd,17-Feb-25,629,593,602.35,-4.24
Chandan Healthcare Ltd,17-Feb-25,159,165.1,172.55,8.52
Eleganz Interiors Ltd,14-Feb-25,130,122,114.95,-11.58
Solarium Green Energy Ltd,13-Feb-25,191,202,257,34.55
Amwill Health Care Ltd,12-Feb-25,111,88.85,82.99,-25.23
Ken Enterprises Ltd,12-Feb-25,94,85,45.65,-51.44
Chamunda Electrical Ltd,11-Feb-25,50,70,49.9,-0.2
Dr Agarwal`s Health Care Ltd,04-Feb-25,402,396.9,405.85,0.96
Malpani Pipes & Fittings Ltd,04-Feb-25,90,85.9,58.32,-35.2
GB Logistics Commerce Ltd,31-Jan-25,102,81.6,42.29,-58.54
H.M. Electro Mech Ltd,31-Jan-25,75,81,72.29,-3.61
CLN Energy Ltd,30-Jan-25,250,256,276,10.4
Denta Water & Infra Solutions Ltd,29-Jan-25,294,330,306.8,4.35
Rexpro Enterprises Ltd,29-Jan-25,145,117,100.05,-31
CapitalNumbers Infotech Ltd,27-Jan-25,263,274,205.4,-21.9
EMA Partners India Ltd,24-Jan-25,124,156.5,124.75,0.6
Stallion India Fluorochemicals Ltd,23-Jan-25,90,120,72.31,-19.66
Landmark Immigration Consultants Ltd,23-Jan-25,72,75,56.75,-21.18
Rikhav Securities Ltd,22-Jan-25,86,163.4,81.25,-5.52
Kabra Jewels Ltd,22-Jan-25,128,243.2,132.95,3.87
Laxmi Dental Ltd,20-Jan-25,428,528,434,1.4
Barflex Polyfilms Ltd,20-Jan-25,60,60,47.4,-21
Capital Infra Trust,17-Jan-25,99,99,92.9,-6.16
Sat Kartar Shopping Ltd,17-Jan-25,81,153.9,147.5,82.1
Avax Apparels and Ornaments Ltd,14-Jan-25,70,133,111,58.57
Delta Autocorp Ltd,14-Jan-25,130,175,80.25,-38.27
B.R.Goyal Infrastructure Ltd,14-Jan-25,135,135.75,120.65,-10.63
Quadrant Future Tek Ltd,14-Jan-25,290,374,519.75,79.22
Standard Glass Lining Technology Ltd,13-Jan-25,140,176,136.11,-2.78
Indobell Insulations Ltd,13-Jan-25,46,87.4,138,200
Fabtech Technologies Cleanrooms Ltd,10-Jan-25,85,161.5,299.55,252.41
Parmeshwar Metal Ltd,09-Jan-25,61,84.5,54.05,-11.39
Davin Sons Retail Ltd,09-Jan-25,55,44,24.8,-54.91
Leo Dryfruits & Spices Trading Ltd,08-Jan-25,52,68,52.5,0.96
Technichem Organics Ltd,07-Jan-25,55,57.25,47.7,-13.27
Indo Farm Equipment Ltd,07-Jan-25,215,258.4,188.91,-12.13
Citichem India Ltd,03-Jan-25,70,70,29.24,-58.23
Anya Polytech & Fertilizers Ltd,02-Jan-25,14,17.1,22.65,61.79
Unimech Aerospace and Manufacturing Ltd,31-Dec-24,785,1491,934.9,19.1
Carraro India Ltd,30-Dec-24,704,660,349.45,-50.36
Ventive Hospitality Ltd,30-Dec-24,643,718.15,705.5,9.72
Senores Pharmaceuticals Ltd,30-Dec-24,391,593.7,568.25,45.33
Sanathan Textiles Ltd,27-Dec-24,321,419.1,322.55,0.48
Newmalayalam Steel Ltd,27-Dec-24,90,90,34.9,-61.22
Transrail Lighting Ltd,27-Dec-24,432,585.15,532.8,23.33
Mamata Machinery Ltd,27-Dec-24,243,600,377.9,55.51
Dam Capital Advisors Ltd,27-Dec-24,283,392.9,223.5,-21.02
Concord Enviro Systems Ltd,27-Dec-24,701,832,504.8,-27.99
Identical Brains Studios Ltd,26-Dec-24,54,95,52.55,-2.69
Nacdac Infrastructure Ltd,24-Dec-24,35,66.5,51.67,47.63
Hamps Bio Limited,20-Dec-24,51,96.9,53,3.92
International Gemmological Institute (India) Ltd,20-Dec-24,417,504.85,328.9,-21.13
Yash Highvoltage Ltd,19-Dec-24,146,277.4,168,15.07
Inventurus Knowledge Solutions Ltd,19-Dec-24,1329,1856,1732.15,30.33
One Mobikwik Systems Ltd,18-Dec-24,279,442.25,284.95,2.13
Supreme Facility Management Ltd,18-Dec-24,76,75,37.15,-51.12
Purple United Sales Ltd,18-Dec-24,126,199,148,17.46
Vishal Mega Mart Ltd,18-Dec-24,78,110,104.57,34.06
Sai Life Sciences Ltd,18-Dec-24,549,660,684.75,24.73
Toss The Coin Ltd,17-Dec-24,182,345.8,380.2,108.9
Jungle Camps India Ltd,17-Dec-24,72,136.8,61.05,-15.21
Dhanlaxmi Crop Science Ltd,16-Dec-24,55,104.5,59.7,8.55
Emerald Tyre Manufacturers Ltd,12-Dec-24,95,180.5,126.45,33.11
Nisus Finance Services Co Ltd,11-Dec-24,180,225,375.6,108.67
Property Share Investment Trust- Propshare Platina,10-Dec-24,1050000,1050000,1028000,-2.1
Suraksha Diagnostic Ltd,06-Dec-24,441,437,279.55,-36.61
Ganesh Infraworld Ltd,06-Dec-24,83,157.7,145.65,75.48
Agarwal Toughened Glass India Ltd,05-Dec-24,108,135,97.2,-10
Apex Ecotech Ltd,04-Dec-24,73,138.7,103,41.1
Abha Power and Steel Ltd,04-Dec-24,75,81.9,31.7,-57.73
Rajputana Biodiesel Ltd,03-Dec-24,130,247,248.2,90.92
C2C Advanced Systems Ltd,03-Dec-24,226,429.4,291.7,29.07
Rajesh Power Services Ltd,02-Dec-24,335,636.5,873.5,160.75
Enviro Infra Engineers Ltd,29-Nov-24,148,218,208.23,40.7
Lamosaic India Ltd,29-Nov-24,200,164,49.9,-75.05
NTPC Green Energy Ltd,27-Nov-24,108,111.6,97.24,-9.96
Zinka Logistics Solutions Ltd,22-Nov-24,273,279.05,419.3,53.59
Onyx Biotec Ltd,22-Nov-24,61,54.05,57,-6.56
Mangal Compusolution Ltd,21-Nov-24,45,45,40,-11.11
Neelam Linens and Garments (India) Ltd,18-Nov-24,24,40.05,33.3,38.75
Niva Bupa Health Insurance Company Ltd,14-Nov-24,74,78.5,72.3,-2.3
ACME Solar Holdings Ltd,13-Nov-24,289,259,208.3,-27.92
Swiggy Ltd,13-Nov-24,390,412,360.95,-7.45
Sagility India Ltd,12-Nov-24,30,31.06,43.95,46.5
Afcons Infrastructure Ltd,04-Nov-24,463,430.05,450.7,-2.66
Usha Financial Services Ltd,31-Oct-24,168,164,78.1,-53.51
Godavari Biorefineries Ltd,30-Oct-24,352,310.55,167.45,-52.43
OBSC Perfection Ltd,29-Oct-24,100,110,167,67
United Heat Transfer Ltd,29-Oct-24,59,60.95,60.75,2.97
